️[4:07 PM, 4/25/2025] G: Babyyy
[9:57 AM, 4/29/2025] G: https://www.instagram.com/reel/DH7kNobJD5L/?igsh=MnBvbjQ3cDc3OXBy
[10:12 AM, 4/29/2025] Ashutosh: Good morning beautiful
❤️
[10:12 AM, 4/29/2025] Ashutosh: Mai kaun hota hu bb aapko rakhne vla ?
[10:13 AM, 4/29/2025] Ashutosh: Jitna ye flat mera hai uthna he aapka hai yk we are already married
[10:13 AM, 4/29/2025] Ashutosh: Bhaiya ko toh mana he lenge
😉
[10:13 AM, 4/29/2025] Ashutosh: Awwwwwww mere gugu
[10:13 AM, 4/29/2025] Ashutosh: Sorryy gugu
[10:15 AM, 4/29/2025] Ashutosh: Yrr aaj kl mai sone se pehle vansh ko bol deta hu charging prr lga de
[10:15 AM, 4/29/2025] Ashutosh: Fir subah battery full rehti hai
😙
😢
[10:15 AM, 4/29/2025] Ashutosh: All the best meri jaan
[11:52 AM, 4/29/2025] Ashutosh: kidrr ho jaana
[2:32 PM, 4/29/2025] Ashutosh: Attendance ka kya hua bb
[2:32 PM, 4/29/2025] Ashutosh: Maiyova mc kahi ka
[2:33 PM, 4/29/2025] G: Baby
[2:33 PM, 4/29/2025] G: Vo meri 71.8 hai
[2:33 PM, 4/29/2025] Ashutosh: Kl bhi jana padega?
[2:33 PM, 4/29/2025] G: Kl toh meri presentation hai
[2:33 PM, 4/29/2025] G: Maine do mein kaha hai excuse lgane ko
[2:33 PM, 4/29/2025] G: Toh meri fir 73 ho jayegi
[2:34 PM, 4/29/2025] G: Fir ek present chahiye

[2:32 PM, 4/29/2025] Ashutosh: Attendance ka kya hua bb
[2:32 PM, 4/29/2025] Ashutosh: Maiyova mc kahi ka
[2:33 PM, 4/29/2025] G: Baby
[2:33 PM, 4/29/2025] G: Vo meri 71.8 hai
[2:33 PM, 4/29/2025] Ashutosh: Kl bhi jana padega?
[2:33 PM, 4/29/2025] G: Kl toh meri presentation hai
[2:33 PM, 4/29/2025] G: Maine do mein kaha hai excuse lgane ko
[2:33 PM, 4/29/2025] G: Toh meri fir 73 ho jayegi
[2:34 PM, 4/29/2025] G: Fir ek present chahiye

[2:32 PM, 4/29/2025] Ashutosh: Attendance ka kya hua bb
[2:32 PM, 4/29/2025] Ashutosh: Maiyova mc kahi ka
[2:33 PM, 4/29/2025] G: Baby
[2:33 PM, 4/29/2025] G: Vo meri 71.8 hai
[2:33 PM, 4/29/2025] Ashutosh: Kl bhi jana padega?
[2:33 PM, 4/29/2025] G: Kl toh meri presentation hai
[2:33 PM, 4/29/2025] G: Maine do mein kaha hai excuse lgane ko
[2:33 PM, 4/29/2025] G: Toh meri fir 73 ho jayegi
[2:34 PM, 4/29/2025] G: Fir ek present chahiye

[2:54 PM, 4/29/2025] G: Bhai mein nahakr he aati hu
[2:54 PM, 4/29/2025] G: Aashu thori hu
[2:54 PM, 4/29/2025] G: Jo nahau he na
[2:54 PM, 4/29/2025] G: Achhh
[2:55 PM, 4/29/2025] Ashutosh: hn kyunki aashu toh wait krr rha hai apni qt ka

[2:55 PM, 4/29/2025] Ashutosh: hn kyunki aashu toh wait krr rha hai apni qt ka
[2:55 PM, 4/29/2025] Ashutosh: usi ki sth nahayega
😏
[2:55 PM, 4/29/2025] G: Achh
[2:55 PM, 4/29/2025] G: Kisney kaha aapse ki mein nahaugi aapke saath
[2:56 PM, 4/29/2025] G: No touchy touching
[2:56 PM, 4/29/2025] Ashutosh: Kiske ke kehne ki zaruart he nahi hai
😘
[2:56 PM, 4/29/2025] G: Ach
[2:56 PM, 4/29/2025] G: Aaisa nahi hone vala

[2:55 PM, 4/29/2025] Ashutosh: hn kyunki aashu toh wait krr rha hai apni qt ka
[2:55 PM, 4/29/2025] Ashutosh: usi ki sth nahayega
😏
[2:55 PM, 4/29/2025] G: Achh
[2:55 PM, 4/29/2025] G: Kisney kaha aapse ki mein nahaugi aapke saath
[2:56 PM, 4/29/2025] G: No touchy touching
[2:56 PM, 4/29/2025] Ashutosh: Kiske ke kehne ki zaruart he nahi hai
😘
[2:56 PM, 4/29/2025] G: Ach
[2:56 PM, 4/29/2025] G: Aaisa nahi hone vala
